basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20260901,900110,HK0000057197,딥커머스,KOSDAQ,1201,0,0,0,0,0,0,0,18437131,22142994331
20260901,900270,HK0000214814,헝셩그룹,KOSDAQ,3500,175,5.26,3400,4140,3195,3093709,11737502970,5112288,17893008000
20260901,900260,HK0000295359,로스웰,KOSDAQ,1695,45,2.73,1650,1814,1643,33876,59558690,46029706,78020351670
20260901,900290,HK0000307485,GRT,KOSDAQ,4200,-10,-.24,4210,4450,4105,455730,1962909454,83510544,350744284800
20260901,900300,HK0000312568,오가닉티코스메틱,KOSDAQ,4075,-145,-3.44,4235,4370,3955,618169,2575663828,20580097,83863895275
20260901,900310,HK0000341732,컬러레이,KOSDAQ,2240,40,1.82,2175,2290,2175,4160,9292427,12808335,28690670400
20260901,900340,HK0000449303,윙입푸드,KOSDAQ,1510,3,.2,1477,1585,1456,151537,229812686,12582732,18999925320
20260901,000020,KR7000020008,동화약품,KOSPI,5230,50,.97,5180,5250,5130,77171,401511430,27931470,146081588100
20260901,000040,KR7000040006,KR모터스,KOSPI,1459,3,.21,1463,1463,1420,40893,58891787,17275036,25204277524
20260901,000050,KR7000050005,경방,KOSPI,8350,90,1.09,8250,8350,8150,23973,197346050,27415270,228917504500
20260901,000070,KR7000070003,삼양홀딩스,KOSPI,61700,1300,2.15,60900,62500,60900,7692,474155450,7763191,478988884700
20260901,000080,KR7000080002,하이트진로,KOSPI,15600,50,.32,15430,15660,15380,81162,1259791590,70133611,1094084331600
20260901,000087,KR7000082008,하이트진로2우B,KOSPI,12380,10,.08,12510,12510,12300,403,5004950,1130138,13991108440
20260901,000100,KR7000100008,유한양행,KOSPI,82700,-1000,-1.19,83000,83600,82200,136338,11280785500,73615781,6088025088700
20260901,000105,KR7000101006,유한양행우,KOSPI,70700,300,.43,70400,71000,70000,234,16481200,1148340,81187638000
20260901,000120,KR7000120006,CJ대한통운,KOSPI,73500,0,0,73100,73700,72700,49894,3648367900,22812344,1676707284000
20260901,000140,KR7000140004,하이트진로홀딩스,KOSPI,8190,20,.24,8170,8220,8020,3663,29718435,23206765,190063405350
20260901,000145,KR7000141002,하이트진로홀딩스우,KOSPI,9180,90,.99,9090,9250,9060,362,3283860,470810,4322035800
20260901,000150,KR7000150003,두산,KOSPI,1206000,-57000,-4.51,1245000,1260000,1185000,37978,45764506500,16193835,19529765010000
20260901,000155,KR7000151001,두산우,KOSPI,427500,-12500,-2.84,437500,437500,423000,2826,1206593250,3996462,1708487505000
20260901,000157,KR7000152009,두산2우B,KOSPI,344000,-5500,-1.57,349500,350000,340500,75,25937500,893038,307205072000
20260901,000180,KR7000180000,성창기업지주,KOSPI,5210,-30,-.57,5300,5300,5160,9289,48443090,13950320,72681167200
20260901,0001A0,KR70001A0001,덕양에너젠,KOSDAQ,9430,30,.32,9400,9530,9210,42731,400205835,25468962,240172311660
20260901,000210,KR7000210005,DL,KOSPI,50600,200,.4,49900,52500,49150,76386,3845829650,20955884,1060367730400
20260901,000215,KR7000211003,DL우,KOSPI,23550,-150,-.63,23750,24000,23200,1509,35526450,1686115,39708008250
20260901,000220,KR7000220004,유유제약,KOSPI,3940,100,2.6,3840,4050,3815,163341,638898208,15747462,62045000280
20260901,000225,KR7000221002,유유제약1우,KOSPI,3760,80,2.17,3680,3795,3660,7852,29312940,2266930,8523656800
20260901,000227,KR7000222000,유유제약2우B,KOSPI,7620,-140,-1.8,7870,7870,7590,1558,11958560,322960,2460955200
20260901,000230,KR7000230003,일동홀딩스,KOSPI,6500,-70,-1.07,6570,6570,6400,4153,26836170,11540400,75012600000
20260901,000240,KR7000240002,한국앤컴퍼니,KOSPI,24600,-50,-.2,24450,24950,24350,40073,988392725,94935240,2335406904000
20260901,000250,KR7000250001,삼천당제약,KOSDAQ,165300,-2600,-1.55,166400,169300,162800,85971,14193033500,23457472,3877520121600
20260901,000270,KR7000270009,기아,KOSPI,131200,200,.15,129700,133000,129300,813483,106710036000,390412998,51222185337600
20260901,000300,KR7000300004,DH오토넥스,KOSPI,4200,0,0,0,0,0,0,0,41437055,174035631000
20260901,000320,KR7000320002,노루홀딩스,KOSPI,17190,-360,-2.05,17730,17730,17190,2963,51115100,13291151,228474885690
20260901,000325,KR7000321000,노루홀딩스우,KOSPI,27800,-100,-.36,27100,27800,27100,64,1758350,243559,6770940200
20260901,000370,KR7000370007,한화손해보험,KOSPI,8890,480,5.71,8410,8950,8310,1250155,11023991700,116738915,1037808954350
20260901,000390,KR7000390005,SP삼화,KOSPI,6600,-100,-1.49,6640,6730,6500,75010,493726785,27203469,179542895400
20260901,000400,KR7000400002,롯데손해보험,KOSPI,2155,90,4.36,2070,2190,2070,672998,1438353549,310336320,668774769600
20260901,000430,KR7000430009,대원강업,KOSPI,4370,-20,-.46,4390,4470,4325,41980,182617917,62000000,270940000000
20260901,000440,KR7000440008,중앙에너비스,KOSDAQ,11690,120,1.04,11830,12000,11570,47548,560517550,6227130,72795149700
20260901,000480,KR7000480004,CR홀딩스,KOSPI,4560,40,.88,4500,4560,4470,26846,120893035,46890490,213820634400
20260901,000490,KR7000490003,대동,KOSPI,8250,350,4.43,7890,8360,7870,715587,5869642260,28826865,237821636250
20260901,0004V0,KR70004V0003,엔비알모션,KOSDAQ,5550,-30,-.54,5750,5750,5410,90117,495499130,11010384,61107631200
20260901,0004Y0,KR70004Y0000,디비금융제14호스팩,KOSDAQ,1999,0,0,1999,1999,1999,5031,10056969,5315000,10624685000
20260901,000500,KR7000500009,가온전선,KOSPI,208500,-1500,-.71,210000,212000,203500,111900,23283044500,29777607,6208631059500
20260901,000520,KR7000520007,삼일제약,KOSPI,6200,50,.81,6150,6230,6080,34768,213782740,21691811,134489228200
20260901,000540,KR7000540005,흥국화재,KOSPI,3695,165,4.67,3530,3770,3500,100330,369079006,64242645,237376573275
20260901,000545,KR7000541003,흥국화재우,KOSPI,5750,-60,-1.03,5800,5990,5420,2902,16725040,768000,4416000000
20260901,000590,KR7000590000,CS홀딩스,KOSPI,66600,-1200,-1.77,67800,67900,66300,862,57648100,1154482,76888501200
20260901,000640,KR7000640003,동아쏘시오홀딩스,KOSPI,93200,-1000,-1.06,94000,95100,92300,13086,1220229750,6732527,627471516400
20260901,000650,KR7000650002,천일고속,KOSPI,150000,-3300,-2.15,152300,155000,146700,2584,386938500,1429220,214383000000
20260901,000660,KR7000660001,SK하이닉스,KOSPI,1693000,19000,1.14,1666000,1713000,1652000,2727724,4606423190500,730492365,1236723573945000
20260901,000670,KR7000670000,영풍,KOSPI,40350,350,.88,39700,40750,39200,25095,1002537050,18410683,742871059050
20260901,000680,KR7000680009,LS네트웍스,KOSPI,3040,-105,-3.34,3135,3150,3030,72680,223251870,78803016,239561168640
20260901,000700,KR7000700005,유수홀딩스,KOSPI,6610,10,.15,6575,6660,6520,16480,108444580,26041812,172136377320
20260901,000720,KR7000720003,현대건설,KOSPI,120700,-2600,-2.11,122100,124000,118000,475204,56869952950,111355765,13440640835500
